x,y
-3,969
-2.9,717.041
-2.8,520.395
-2.7,368.937
-2.6,254.038
-2.5,168.398
-2.4,105.892
-2.3,61.4198
-2.2,30.7832
-2.1,10.5607
-2,-2
-1.9,-9.08069
-1.8,-12.3816
-1.7,-13.2008
-1.6,-12.5052
-1.5,-10.9922
-1.4,-9.14467
-1.3,-7.27782
-1.2,-5.57944
-1.1,-4.14386
-1,-3
-0.9,-2.13412
-0.8,-1.50779
-0.7,-1.07143
-0.6,-0.774182
-0.5,-0.570312
-0.4,-0.422938
-0.3,-0.30537
-0.2,-0.200691
-0.1,-0.100021
1.52656e-015,1.52656e-015
0.1,0.100019
0.2,0.200563
0.3,0.303912
0.4,0.414746
0.5,0.539063
0.6,0.68087
0.7,0.836137
0.8,0.983501
0.9,1.07124
1,1
1.1,0.600742
1.2,-0.392525
1.3,-2.3758
1.4,-5.91441
1.5,-11.7891
1.6,-21.0492
1.7,-35.0743
1.8,-55.6429
1.9,-85.0111
